Time,N_QTN
"2020-01-19/00:00:06",111.579
"2020-01-19/00:00:13",69.6778
"2020-01-19/00:00:20",83.4276
"2020-01-19/00:00:27",71.8329
"2020-01-19/00:00:34",71.8570
"2020-01-19/00:00:41",71.2169
"2020-01-19/00:00:48",71.5786
"2020-01-19/00:00:55",69.2272
"2020-01-19/00:01:02",72.2913
"2020-01-19/00:01:09",72.7945
"2020-01-19/00:01:16",70.5178
"2020-01-19/00:01:23",83.4693
"2020-01-19/00:01:30",71.5112
"2020-01-19/00:01:37",72.8990
"2020-01-19/00:01:44",70.4627
"2020-01-19/00:01:51",83.8573
"2020-01-19/00:01:58",82.8944
"2020-01-19/00:02:05",70.2862
"2020-01-19/00:02:12",70.8713
"2020-01-19/00:02:19",72.5421
"2020-01-19/00:02:26",72.8012
"2020-01-19/00:02:33",73.1952
"2020-01-19/00:02:40",71.7960
"2020-01-19/00:02:47",71.0203
"2020-01-19/00:02:54",82.8770
"2020-01-19/00:03:01",71.1197
"2020-01-19/00:03:08",68.2266
"2020-01-19/00:03:15",98.3051
"2020-01-19/00:03:22",70.3590
"2020-01-19/00:03:29",84.9097
"2020-01-19/00:03:36",82.0612
"2020-01-19/00:03:43",69.8544
"2020-01-19/00:03:50",81.9788
"2020-01-19/00:03:57",70.6976
"2020-01-19/00:04:04",83.2371
"2020-01-19/00:04:11",70.5651
"2020-01-19/00:04:18",70.6843
"2020-01-19/00:04:25",83.9840
"2020-01-19/00:04:32",83.9360
"2020-01-19/00:04:39",68.8495
"2020-01-19/00:04:46",71.0188
"2020-01-19/00:04:53",70.9232
"2020-01-19/00:05:00",69.3322
"2020-01-19/00:05:07",65.6890
"2020-01-19/00:05:14",83.1914
"2020-01-19/00:05:21",69.3378
"2020-01-19/00:05:28",68.9068
"2020-01-19/00:05:35",83.6611
"2020-01-19/00:05:42",82.5323
"2020-01-19/00:05:49",85.4489
"2020-01-19/00:05:56",66.5769
"2020-01-19/00:06:03",70.0726
"2020-01-19/00:06:10",66.0253
"2020-01-19/00:06:17",68.7823
"2020-01-19/00:06:24",70.9647
"2020-01-19/00:06:31",69.1440
"2020-01-19/00:06:38",83.3351
"2020-01-19/00:06:45",99.1157
"2020-01-19/00:06:52",69.3753
"2020-01-19/00:06:59",71.4496
"2020-01-19/00:07:06",70.4175
"2020-01-19/00:07:13",70.6591
"2020-01-19/00:07:20",67.7069
"2020-01-19/00:07:27",69.3092
"2020-01-19/00:07:33",81.1004
"2020-01-19/00:07:40",85.0021
"2020-01-19/00:07:47",70.5419
"2020-01-19/00:07:54",68.9801
"2020-01-19/00:08:01",67.3358
"2020-01-19/00:08:08",66.5080
"2020-01-19/00:08:15",71.0293
"2020-01-19/00:08:22",71.1724
"2020-01-19/00:08:29",83.6955
"2020-01-19/00:08:36",70.0591
"2020-01-19/00:08:43",71.2010
"2020-01-19/00:08:50",70.3799
"2020-01-19/00:08:57",73.2033
"2020-01-19/00:09:04",71.3266
"2020-01-19/00:09:11",72.4936
"2020-01-19/00:09:18",83.7029
"2020-01-19/00:09:25",69.9955
"2020-01-19/00:09:32",84.8784
"2020-01-19/00:09:39",73.3397
"2020-01-19/00:09:46",70.0341
"2020-01-19/00:09:53",70.1635
"2020-01-19/00:10:00",69.9983
"2020-01-19/00:10:07",85.6892
"2020-01-19/00:10:14",71.2362
"2020-01-19/00:10:21",71.3022
"2020-01-19/00:10:28",84.5309
"2020-01-19/00:10:35",85.9253
"2020-01-19/00:10:42",70.0676
"2020-01-19/00:10:49",67.4059
"2020-01-19/00:10:56",84.7660
"2020-01-19/00:11:03",73.0309
"2020-01-19/00:11:10",70.1405
"2020-01-19/00:11:17",71.5872
"2020-01-19/00:11:24",70.7795
"2020-01-19/00:11:31",69.6329
"2020-01-19/00:11:38",70.8517
"2020-01-19/00:11:45",71.4619
"2020-01-19/00:11:52",71.2057
"2020-01-19/00:11:59",124.864
"2020-01-19/00:12:06",83.0252
"2020-01-19/00:12:13",83.9438
"2020-01-19/00:12:20",71.8913
"2020-01-19/00:12:27",69.4311
"2020-01-19/00:12:34",84.1945
"2020-01-19/00:12:41",82.3516
"2020-01-19/00:12:48",70.8890
"2020-01-19/00:12:55",56.6072
"2020-01-19/00:13:02",84.0361
"2020-01-19/00:13:09",68.7976
"2020-01-19/00:13:16",68.5730
"2020-01-19/00:13:23",68.7957
"2020-01-19/00:13:30",65.7020
"2020-01-19/00:13:37",66.7488
"2020-01-19/00:13:44",67.1796
"2020-01-19/00:13:51",68.7043
"2020-01-19/00:13:58",84.3002
"2020-01-19/00:14:05",98.0323
"2020-01-19/00:14:12",72.3329
"2020-01-19/00:14:19",72.2875
"2020-01-19/00:14:26",73.4888
"2020-01-19/00:14:33",83.5009
"2020-01-19/00:14:40",111.611
"2020-01-19/00:14:47",86.8916
"2020-01-19/00:14:54",68.8374
"2020-01-19/00:15:01",71.4296
"2020-01-19/00:15:08",71.5950
"2020-01-19/00:15:15",69.9076
"2020-01-19/00:15:22",71.9744
"2020-01-19/00:15:29",72.6116
"2020-01-19/00:15:36",70.0675
"2020-01-19/00:15:43",70.6377
"2020-01-19/00:15:50",71.3812
"2020-01-19/00:15:57",70.7456
"2020-01-19/00:16:04",72.8820
"2020-01-19/00:16:11",68.1609
"2020-01-19/00:16:18",70.4566
"2020-01-19/00:16:25",70.1115
"2020-01-19/00:16:32",68.0558
"2020-01-19/00:16:39",82.8602
"2020-01-19/00:16:46",70.6812
"2020-01-19/00:16:53",83.6293
"2020-01-19/00:17:00",84.5042
"2020-01-19/00:17:07",84.9072
"2020-01-19/00:17:14",85.2805
"2020-01-19/00:17:21",83.4967
"2020-01-19/00:17:28",68.3551
"2020-01-19/00:17:35",69.3396
"2020-01-19/00:17:42",72.5046
"2020-01-19/00:17:49",69.3733
"2020-01-19/00:17:56",69.6045
"2020-01-19/00:18:03",83.9687
"2020-01-19/00:18:10",70.8065
"2020-01-19/00:18:17",81.1923
"2020-01-19/00:18:24",71.9508
"2020-01-19/00:18:31",72.1665
"2020-01-19/00:18:38",70.3578
"2020-01-19/00:18:45",85.6313
"2020-01-19/00:18:52",70.4557
"2020-01-19/00:18:59",70.8913
"2020-01-19/00:19:06",83.9395
"2020-01-19/00:19:13",72.2572
"2020-01-19/00:19:20",68.5102
"2020-01-19/00:19:27",68.1027
"2020-01-19/00:19:34",70.9704
"2020-01-19/00:19:41",84.9382
"2020-01-19/00:19:47",84.1558
"2020-01-19/00:19:54",83.3508
"2020-01-19/00:20:01",67.9064
"2020-01-19/00:20:08",82.2829
"2020-01-19/00:20:15",70.5588
"2020-01-19/00:20:22",70.6824
"2020-01-19/00:20:29",70.0699
"2020-01-19/00:20:36",84.3380
"2020-01-19/00:20:43",71.3543
"2020-01-19/00:20:50",81.1818
"2020-01-19/00:20:57",70.0105
"2020-01-19/00:21:04",69.0633
"2020-01-19/00:21:11",72.7466
"2020-01-19/00:21:18",66.2191
"2020-01-19/00:21:25",71.0155
"2020-01-19/00:21:32",83.8456
"2020-01-19/00:21:39",83.0382
"2020-01-19/00:21:46",72.3039
"2020-01-19/00:21:53",68.1778
"2020-01-19/00:22:00",67.7820
"2020-01-19/00:22:07",71.6834
"2020-01-19/00:22:14",68.0970
"2020-01-19/00:22:21",69.3039
"2020-01-19/00:22:28",82.5844
"2020-01-19/00:22:35",85.7127
"2020-01-19/00:22:42",71.6879
"2020-01-19/00:22:49",67.7725
"2020-01-19/00:22:56",71.1636
"2020-01-19/00:23:03",81.7599
"2020-01-19/00:23:10",82.2537
"2020-01-19/00:23:17",82.4395
"2020-01-19/00:23:24",83.3162
"2020-01-19/00:23:31",81.1584
"2020-01-19/00:23:38",71.9790
"2020-01-19/00:23:45",67.1959
"2020-01-19/00:23:52",68.5387
"2020-01-19/00:23:59",70.2673
"2020-01-19/00:24:06",72.1695
"2020-01-19/00:24:13",83.2687
"2020-01-19/00:24:20",97.2329
"2020-01-19/00:24:27",82.9194
"2020-01-19/00:24:34",82.8531
"2020-01-19/00:24:41",70.6235
"2020-01-19/00:24:48",71.7095
"2020-01-19/00:24:55",72.2935
"2020-01-19/00:25:02",70.8479
"2020-01-19/00:25:09",83.7110
