Time,N_QTN
"2020-05-28/00:00:02",81.8499
"2020-05-28/00:00:09",72.1249
"2020-05-28/00:00:16",71.1231
"2020-05-28/00:00:23",70.2261
"2020-05-28/00:00:30",70.4345
"2020-05-28/00:00:37",67.5859
"2020-05-28/00:00:44",68.9211
"2020-05-28/00:00:51",69.1233
"2020-05-28/00:00:58",84.4072
"2020-05-28/00:01:05",68.2016
"2020-05-28/00:01:12",84.4399
"2020-05-28/00:01:19",71.7134
"2020-05-28/00:01:26",72.2186
"2020-05-28/00:01:33",74.3374
"2020-05-28/00:01:40",82.5721
"2020-05-28/00:01:47",71.2073
"2020-05-28/00:01:54",82.0750
"2020-05-28/00:02:01",84.6668
"2020-05-28/00:02:08",70.8391
"2020-05-28/00:02:15",83.1063
"2020-05-28/00:02:22",83.6043
"2020-05-28/00:02:29",83.2915
"2020-05-28/00:02:36",70.8508
"2020-05-28/00:02:43",81.7904
"2020-05-28/00:02:50",70.8951
"2020-05-28/00:02:57",70.7934
"2020-05-28/00:03:04",79.7787
"2020-05-28/00:03:11",70.5133
"2020-05-28/00:03:18",83.2320
"2020-05-28/00:03:25",73.3092
"2020-05-28/00:03:32",73.8876
"2020-05-28/00:03:39",70.3419
"2020-05-28/00:03:46",70.4811
"2020-05-28/00:03:53",71.7829
"2020-05-28/00:04:00",69.6713
"2020-05-28/00:04:07",83.3255
"2020-05-28/00:04:14",84.3488
"2020-05-28/00:04:21",68.3924
"2020-05-28/00:04:28",72.2987
"2020-05-28/00:04:34",67.8566
"2020-05-28/00:04:41",84.1432
"2020-05-28/00:04:48",71.3185
"2020-05-28/00:04:55",83.1937
"2020-05-28/00:05:02",69.1842
"2020-05-28/00:05:09",71.7005
"2020-05-28/00:05:16",67.5346
"2020-05-28/00:05:23",82.7370
"2020-05-28/00:05:30",68.4187
"2020-05-28/00:05:37",67.7102
"2020-05-28/00:05:44",70.6176
"2020-05-28/00:05:51",71.2298
"2020-05-28/00:05:58",68.8802
"2020-05-28/00:06:05",85.7873
