Time,N_QTN
"2021-11-16/04:24:48",67.8268
"2021-11-16/04:24:52",66.5856
"2021-11-16/04:24:55",68.2250
"2021-11-16/04:24:59",56.3544
"2021-11-16/04:25:02",71.6434
"2021-11-16/04:25:06",53.7261
"2021-11-16/04:25:09",65.7092
"2021-11-16/04:25:13",55.1547
"2021-11-16/04:25:16",55.1344
"2021-11-16/04:25:20",84.8951
"2021-11-16/04:25:23",98.3684
"2021-11-16/04:25:27",82.2750
"2021-11-16/04:25:30",85.0434
"2021-11-16/04:25:34",83.0442
"2021-11-16/04:25:37",84.0044
"2021-11-16/04:25:41",69.9766
"2021-11-16/04:25:44",56.0403
"2021-11-16/04:25:48",53.6002
"2021-11-16/04:25:51",55.5619
"2021-11-16/04:25:55",69.9802
"2021-11-16/04:25:58",69.3273
"2021-11-16/04:26:02",54.6429
"2021-11-16/04:26:05",69.2002
"2021-11-16/04:26:09",55.0702
"2021-11-16/04:26:12",65.9114
"2021-11-16/04:26:16",69.5753
"2021-11-16/04:26:19",67.6600
"2021-11-16/04:26:23",84.9152
"2021-11-16/04:26:26",66.3624
"2021-11-16/04:26:30",66.7268
"2021-11-16/04:26:33",98.6602
"2021-11-16/04:26:37",69.2645
"2021-11-16/04:26:40",55.3214
"2021-11-16/04:26:44",69.4968
"2021-11-16/04:26:47",67.0361
"2021-11-16/04:26:51",51.9039
"2021-11-16/04:26:54",67.8342
"2021-11-16/04:26:57",52.5744
"2021-11-16/04:27:01",54.3292
"2021-11-16/04:27:04",69.8977
"2021-11-16/04:27:08",83.9355
"2021-11-16/04:27:11",71.6732
"2021-11-16/04:27:15",69.9376
"2021-11-16/04:27:18",82.5191
"2021-11-16/04:27:22",72.4137
"2021-11-16/04:27:25",68.9045
"2021-11-16/04:27:29",72.4278
"2021-11-16/04:27:32",69.5374
"2021-11-16/04:27:36",67.3311
"2021-11-16/04:27:39",52.5477
"2021-11-16/04:27:43",68.6622
"2021-11-16/04:27:46",55.7152
"2021-11-16/04:27:50",53.8029
"2021-11-16/04:27:53",68.1645
"2021-11-16/04:27:57",100.163
"2021-11-16/04:28:00",54.7122
"2021-11-16/04:28:04",53.5373
"2021-11-16/04:28:07",69.0685
"2021-11-16/04:28:11",64.8617
"2021-11-16/04:28:14",53.7340
"2021-11-16/04:28:18",56.2060
"2021-11-16/04:28:21",54.0438
"2021-11-16/04:28:25",82.4980
"2021-11-16/04:28:28",69.2776
"2021-11-16/04:28:32",54.5836
"2021-11-16/04:28:35",97.6813
"2021-11-16/04:28:39",81.5314
"2021-11-16/04:28:42",55.6984
"2021-11-16/04:28:46",55.1550
"2021-11-16/04:28:49",97.0184
"2021-11-16/04:28:53",65.1245
"2021-11-16/04:28:56",54.5925
"2021-11-16/04:29:00",70.9344
"2021-11-16/04:29:03",54.4300
"2021-11-16/04:29:07",53.6075
"2021-11-16/04:29:10",66.8129
"2021-11-16/04:29:14",52.2348
"2021-11-16/04:29:17",53.1941
"2021-11-16/04:29:21",71.1642
"2021-11-16/04:29:24",66.6105
"2021-11-16/04:29:28",55.4453
"2021-11-16/04:29:31",53.8434
"2021-11-16/04:29:35",54.9351
"2021-11-16/04:29:38",52.9852
"2021-11-16/04:29:42",52.3624
"2021-11-16/04:29:45",82.1023
"2021-11-16/04:29:49",68.5158
"2021-11-16/04:29:52",80.0827
"2021-11-16/04:29:56",85.0053
"2021-11-16/04:29:59",84.3900
"2021-11-16/04:30:03",68.1096
"2021-11-16/04:30:06",83.3845
"2021-11-16/04:30:10",70.1394
"2021-11-16/04:30:13",86.2842
"2021-11-16/04:30:17",70.7221
"2021-11-16/04:30:20",96.3582
"2021-11-16/04:30:24",69.5618
"2021-11-16/04:30:27",51.4410
"2021-11-16/04:30:31",54.4616
"2021-11-16/04:30:34",53.5297
"2021-11-16/04:30:38",85.7297
"2021-11-16/04:30:41",81.0787
"2021-11-16/04:30:45",70.4829
"2021-11-16/04:30:48",53.1123
"2021-11-16/04:30:52",85.9540
"2021-11-16/04:30:55",82.0270
"2021-11-16/04:30:59",71.1742
"2021-11-16/04:31:02",52.6858
"2021-11-16/04:31:06",54.4989
"2021-11-16/04:31:09",67.9110
"2021-11-16/04:31:13",67.0301
"2021-11-16/04:31:16",85.3450
"2021-11-16/04:31:20",95.4820
"2021-11-16/04:31:23",83.1801
"2021-11-16/04:31:27",99.4901
"2021-11-16/04:31:30",84.1500
"2021-11-16/04:31:34",83.8061
"2021-11-16/04:31:37",55.0302
"2021-11-16/04:31:41",68.3605
"2021-11-16/04:31:44",69.9452
"2021-11-16/04:31:48",81.7828
"2021-11-16/04:31:51",55.1185
"2021-11-16/04:31:55",55.4339
"2021-11-16/04:31:58",55.2241
"2021-11-16/04:32:02",70.1287
"2021-11-16/04:32:05",55.7474
"2021-11-16/04:32:09",67.0823
"2021-11-16/04:32:12",71.1108
"2021-11-16/04:32:16",53.9072
"2021-11-16/04:32:19",54.6171
"2021-11-16/04:32:23",69.1728
"2021-11-16/04:32:26",67.6256
"2021-11-16/04:32:30",84.7335
"2021-11-16/04:32:33",70.8613
"2021-11-16/04:32:37",70.1241
"2021-11-16/04:32:40",54.6403
"2021-11-16/04:32:44",52.0746
"2021-11-16/04:32:47",54.9381
"2021-11-16/04:32:51",68.5433
"2021-11-16/04:32:54",69.3837
"2021-11-16/04:32:58",50.4203
"2021-11-16/04:33:01",51.2433
"2021-11-16/04:33:04",67.1327
"2021-11-16/04:33:08",66.7377
"2021-11-16/04:33:11",51.5597
"2021-11-16/04:33:15",68.3198
"2021-11-16/04:33:18",55.6358
"2021-11-16/04:33:22",84.1070
"2021-11-16/04:33:25",52.5806
"2021-11-16/04:33:29",55.1280
"2021-11-16/04:33:32",69.6390
"2021-11-16/04:33:36",82.3604
"2021-11-16/04:33:39",55.7899
"2021-11-16/04:33:43",56.0356
"2021-11-16/04:33:46",66.2910
"2021-11-16/04:33:50",52.6394
"2021-11-16/04:33:53",55.1804
"2021-11-16/04:33:57",69.0934
"2021-11-16/04:34:00",69.8864
"2021-11-16/04:34:04",54.6044
"2021-11-16/04:34:07",55.1773
"2021-11-16/04:34:11",84.2569
"2021-11-16/04:34:14",82.2667
"2021-11-16/04:34:18",69.5973
"2021-11-16/04:34:21",65.9594
"2021-11-16/04:34:25",80.7166
"2021-11-16/04:34:28",70.4635
"2021-11-16/04:34:32",69.5371
"2021-11-16/04:34:35",68.1798
"2021-11-16/04:34:39",85.6674
"2021-11-16/04:34:42",67.0109
"2021-11-16/04:34:46",85.6744
"2021-11-16/04:34:49",69.0103
"2021-11-16/04:34:53",52.6433
"2021-11-16/04:34:56",68.7357
"2021-11-16/04:35:00",83.3743
"2021-11-16/04:35:03",54.5803
"2021-11-16/04:35:07",72.5179
"2021-11-16/04:35:10",53.9959
"2021-11-16/04:35:14",52.3799
"2021-11-16/04:35:17",70.5310
"2021-11-16/04:35:21",68.7700
"2021-11-16/04:35:24",69.7460
"2021-11-16/04:35:28",83.5445
"2021-11-16/04:35:31",85.5584
"2021-11-16/04:35:35",67.2862
"2021-11-16/04:35:38",80.2060
"2021-11-16/04:35:42",85.1195
"2021-11-16/04:35:45",97.4778
"2021-11-16/04:35:49",84.1181
"2021-11-16/04:35:52",69.5555
"2021-11-16/04:35:56",54.1030
"2021-11-16/04:35:59",69.5350
"2021-11-16/04:36:03",70.8756
"2021-11-16/04:36:06",68.8072
"2021-11-16/04:36:10",53.3942
"2021-11-16/04:36:13",84.9469
"2021-11-16/04:36:17",53.8967
"2021-11-16/04:36:20",66.9233
"2021-11-16/04:36:24",68.1044
"2021-11-16/04:36:27",68.0072
"2021-11-16/04:36:31",66.1946
"2021-11-16/04:36:34",70.4778
"2021-11-16/04:36:38",65.9292
"2021-11-16/04:36:41",68.2118
"2021-11-16/04:36:45",80.7409
"2021-11-16/04:36:48",88.1365
"2021-11-16/04:36:52",71.5934
"2021-11-16/04:36:55",68.8255
"2021-11-16/04:36:59",71.2668
"2021-11-16/04:37:02",53.0713
"2021-11-16/04:37:06",82.7059
"2021-11-16/04:37:09",83.4843
"2021-11-16/04:37:13",65.2661
"2021-11-16/04:37:16",69.6830
"2021-11-16/04:37:20",82.7951
"2021-11-16/04:37:23",67.8962
"2021-11-16/04:37:27",68.9115
"2021-11-16/04:37:30",68.0339
"2021-11-16/04:37:34",49.9982
"2021-11-16/04:37:37",83.9800
"2021-11-16/04:37:41",82.9051
"2021-11-16/04:37:44",84.3036
"2021-11-16/04:37:48",67.9159
"2021-11-16/04:37:51",54.1344
"2021-11-16/04:37:55",68.0287
"2021-11-16/04:37:58",97.5790
"2021-11-16/04:38:02",56.3863
"2021-11-16/04:38:05",84.9116
"2021-11-16/04:38:09",55.1962
"2021-11-16/04:38:12",52.7330
"2021-11-16/04:38:16",68.0863
"2021-11-16/04:38:19",125.023
"2021-11-16/04:38:23",69.8547
"2021-11-16/04:38:26",70.3321
"2021-11-16/04:38:30",81.2054
"2021-11-16/04:38:33",69.9778
"2021-11-16/04:38:37",69.0775
"2021-11-16/04:38:40",69.8649
"2021-11-16/04:38:44",53.6792
"2021-11-16/04:38:47",70.6918
"2021-11-16/04:38:51",70.5374
"2021-11-16/04:38:54",96.4499
"2021-11-16/04:38:58",122.312
"2021-11-16/04:39:01",80.5332
"2021-11-16/04:39:05",96.8645
"2021-11-16/04:39:08",86.2010
"2021-11-16/04:39:11",69.6896
"2021-11-16/04:39:15",83.5899
"2021-11-16/04:39:18",71.2668
"2021-11-16/04:39:22",53.9459
"2021-11-16/04:39:25",83.6402
"2021-11-16/04:39:29",85.7474
"2021-11-16/04:39:32",68.8262
"2021-11-16/04:39:36",79.5422
"2021-11-16/04:39:39",85.5114
"2021-11-16/04:39:43",69.7353
"2021-11-16/04:39:46",48.0481
"2021-11-16/04:39:50",97.0015
"2021-11-16/04:39:53",70.9868
"2021-11-16/04:39:57",66.5479
"2021-11-16/04:40:00",66.9684
"2021-11-16/04:40:04",53.1051
"2021-11-16/04:40:07",85.0265
"2021-11-16/04:40:11",81.9625
"2021-11-16/04:40:14",96.0422
"2021-11-16/04:40:18",67.2676
"2021-11-16/04:40:21",70.7806
"2021-11-16/04:40:25",55.6537
"2021-11-16/04:40:28",84.0057
"2021-11-16/04:40:32",98.2671
"2021-11-16/04:40:35",83.8256
"2021-11-16/04:40:39",54.2146
"2021-11-16/04:40:42",54.6564
"2021-11-16/04:40:46",54.4514
"2021-11-16/04:40:49",70.3533
"2021-11-16/04:40:53",54.1019
"2021-11-16/04:40:56",68.4024
"2021-11-16/04:41:00",68.3733
"2021-11-16/04:41:03",82.2722
"2021-11-16/04:41:07",67.5627
"2021-11-16/04:41:10",84.3311
"2021-11-16/04:41:14",82.3642
"2021-11-16/04:41:17",68.4158
"2021-11-16/04:41:21",53.2117
"2021-11-16/04:41:24",51.3222
"2021-11-16/04:41:28",54.7423
"2021-11-16/04:41:31",69.1745
"2021-11-16/04:41:35",55.6171
"2021-11-16/04:41:38",53.8457
"2021-11-16/04:41:42",85.7081
"2021-11-16/04:41:45",68.1887
"2021-11-16/04:41:49",85.0101
"2021-11-16/04:41:52",66.5285
"2021-11-16/04:41:56",53.2101
"2021-11-16/04:41:59",66.7264
"2021-11-16/04:42:03",83.9202
"2021-11-16/04:42:06",79.8650
"2021-11-16/04:42:10",82.7064
"2021-11-16/04:42:13",54.6342
"2021-11-16/04:42:17",53.9011
"2021-11-16/04:42:20",69.7801
"2021-11-16/04:42:24",85.8156
"2021-11-16/04:42:27",67.8956
"2021-11-16/04:42:31",67.7074
"2021-11-16/04:42:34",53.5000
"2021-11-16/04:42:38",70.8660
"2021-11-16/04:42:41",69.3387
"2021-11-16/04:42:45",69.6398
"2021-11-16/04:42:48",82.2810
"2021-11-16/04:42:52",96.6562
"2021-11-16/04:42:55",69.4381
"2021-11-16/04:42:59",67.1446
"2021-11-16/04:43:02",55.4347
"2021-11-16/04:43:06",67.2746
"2021-11-16/04:43:09",54.5826
"2021-11-16/04:43:13",55.9039
"2021-11-16/04:43:16",68.9998
"2021-11-16/04:43:20",55.4998
"2021-11-16/04:43:23",52.3717
"2021-11-16/04:43:27",84.4681
"2021-11-16/04:43:30",66.5610
"2021-11-16/04:43:34",85.8767
"2021-11-16/04:43:37",61.9771
"2021-11-16/04:43:41",65.5671
"2021-11-16/04:43:44",83.0341
"2021-11-16/04:43:48",67.1499
"2021-11-16/04:43:51",55.2483
"2021-11-16/04:43:55",67.9099
"2021-11-16/04:43:58",81.1025
"2021-11-16/04:44:02",70.0555
"2021-11-16/04:44:05",68.9420
"2021-11-16/04:44:09",67.2256
"2021-11-16/04:44:12",53.6573
"2021-11-16/04:44:16",54.3393
"2021-11-16/04:44:19",68.3295
"2021-11-16/04:44:23",82.4974
"2021-11-16/04:44:26",101.960
"2021-11-16/04:44:30",97.4286
"2021-11-16/04:44:33",53.3940
"2021-11-16/04:44:37",52.3661
"2021-11-16/04:44:40",54.6334
"2021-11-16/04:44:44",55.8241
"2021-11-16/04:44:47",68.7499
