Time,N_QTN
"2024-09-25/04:31:49",272.327
"2024-09-25/04:31:52",292.691
"2024-09-25/04:31:56",256.550
"2024-09-25/04:31:59",263.497
"2024-09-25/04:32:03",263.149
"2024-09-25/04:32:06",247.010
"2024-09-25/04:32:10",266.961
"2024-09-25/04:32:13",257.383
"2024-09-25/04:32:17",258.371
"2024-09-25/04:32:20",259.680
"2024-09-25/04:32:24",257.635
"2024-09-25/04:32:27",258.178
"2024-09-25/04:32:31",263.260
"2024-09-25/04:32:34",269.410
"2024-09-25/04:32:38",266.036
"2024-09-25/04:32:41",269.700
"2024-09-25/04:32:44",266.288
"2024-09-25/04:32:48",259.022
"2024-09-25/04:32:51",264.896
"2024-09-25/04:32:55",269.553
"2024-09-25/04:32:58",296.075
"2024-09-25/04:33:02",296.389
"2024-09-25/04:33:05",275.422
"2024-09-25/04:33:09",272.496
"2024-09-25/04:33:12",265.408
"2024-09-25/04:33:16",266.028
"2024-09-25/04:33:19",220.880
"2024-09-25/04:33:23",298.224
"2024-09-25/04:33:26",295.022
"2024-09-25/04:33:30",243.770
"2024-09-25/04:33:33",265.372
"2024-09-25/04:33:37",262.943
"2024-09-25/04:33:40",266.568
"2024-09-25/04:33:44",289.552
"2024-09-25/04:33:47",297.464
"2024-09-25/04:33:51",242.196
"2024-09-25/04:33:54",270.252
"2024-09-25/04:33:58",243.972
"2024-09-25/04:34:01",243.145
"2024-09-25/04:34:05",269.480
"2024-09-25/04:34:08",241.680
"2024-09-25/04:34:12",268.752
"2024-09-25/04:34:15",259.675
"2024-09-25/04:34:19",272.206
"2024-09-25/04:34:22",290.194
"2024-09-25/04:34:26",271.180
"2024-09-25/04:34:29",244.876
"2024-09-25/04:34:33",219.254
"2024-09-25/04:34:36",241.224
"2024-09-25/04:34:40",290.811
"2024-09-25/04:34:43",244.855
"2024-09-25/04:34:47",244.473
"2024-09-25/04:34:50",271.804
"2024-09-25/04:34:54",261.174
"2024-09-25/04:34:57",241.616
"2024-09-25/04:35:01",264.793
"2024-09-25/04:35:04",225.332
"2024-09-25/04:35:08",238.186
"2024-09-25/04:35:11",269.571
"2024-09-25/04:35:15",266.628
"2024-09-25/04:35:18",258.745
"2024-09-25/04:35:22",244.552
"2024-09-25/04:35:25",256.041
"2024-09-25/04:35:29",272.820
"2024-09-25/04:35:32",221.100
"2024-09-25/04:35:36",256.468
"2024-09-25/04:35:39",273.614
"2024-09-25/04:35:43",269.901
"2024-09-25/04:35:46",263.308
"2024-09-25/04:35:50",219.289
"2024-09-25/04:35:53",255.760
