Time,N_QTN
"2023-03-12/16:21:24",233.301
"2023-03-12/16:21:31",234.739
"2023-03-12/16:21:38",238.486
"2023-03-12/16:21:45",235.341
"2023-03-12/16:21:52",236.526
"2023-03-12/16:21:59",238.362
"2023-03-12/16:22:06",241.395
"2023-03-12/16:22:13",240.143
"2023-03-12/16:22:20",239.823
"2023-03-12/16:22:27",242.409
"2023-03-12/16:22:34",241.343
"2023-03-12/16:22:41",238.100
"2023-03-12/16:22:48",237.524
"2023-03-12/16:22:55",240.639
"2023-03-12/16:23:02",242.175
"2023-03-12/16:23:09",236.687
"2023-03-12/16:23:16",197.928
"2023-03-12/16:23:23",196.856
"2023-03-12/16:23:30",194.346
"2023-03-12/16:23:37",197.432
"2023-03-12/16:23:44",179.283
"2023-03-12/16:23:51",195.451
"2023-03-12/16:23:58",243.585
"2023-03-12/16:24:05",240.934
"2023-03-12/16:24:12",344.590
"2023-03-12/16:24:19",342.012
"2023-03-12/16:24:26",337.715
"2023-03-12/16:24:33",334.126
"2023-03-12/16:24:40",271.598
"2023-03-12/16:24:47",328.478
"2023-03-12/16:24:54",271.808
"2023-03-12/16:25:01",267.207
"2023-03-12/16:25:08",266.623
"2023-03-12/16:25:14",246.228
"2023-03-12/16:25:21",259.784
"2023-03-12/16:25:27",242.305
"2023-03-12/16:25:31",243.156
"2023-03-12/16:25:34",261.999
"2023-03-12/16:25:38",243.068
"2023-03-12/16:25:41",244.964
"2023-03-12/16:25:45",242.594
"2023-03-12/16:25:48",244.680
"2023-03-12/16:25:52",241.479
"2023-03-12/16:25:55",224.284
"2023-03-12/16:25:59",241.932
"2023-03-12/16:26:02",256.568
"2023-03-12/16:26:06",243.767
"2023-03-12/16:26:09",241.621
"2023-03-12/16:26:13",241.553
"2023-03-12/16:26:16",241.381
"2023-03-12/16:26:20",240.806
"2023-03-12/16:26:23",240.934
"2023-03-12/16:26:27",221.444
"2023-03-12/16:26:30",242.185
"2023-03-12/16:26:34",238.615
"2023-03-12/16:26:37",241.039
"2023-03-12/16:26:41",221.512
"2023-03-12/16:26:44",220.637
"2023-03-12/16:26:48",220.354
"2023-03-12/16:26:51",221.571
"2023-03-12/16:26:55",241.168
"2023-03-12/16:26:58",241.391
"2023-03-12/16:27:02",220.181
"2023-03-12/16:27:05",220.750
"2023-03-12/16:27:09",218.578
"2023-03-12/16:27:12",221.095
"2023-03-12/16:27:16",219.948
"2023-03-12/16:27:19",222.218
"2023-03-12/16:27:23",221.973
"2023-03-12/16:27:26",221.892
"2023-03-12/16:27:30",240.803
"2023-03-12/16:27:33",240.763
"2023-03-12/16:27:37",219.849
"2023-03-12/16:27:40",244.883
"2023-03-12/16:27:44",242.015
"2023-03-12/16:27:47",243.687
"2023-03-12/16:27:51",219.403
"2023-03-12/16:27:54",240.153
"2023-03-12/16:27:58",257.723
"2023-03-12/16:28:01",240.799
"2023-03-12/16:28:05",243.751
"2023-03-12/16:28:08",242.849
"2023-03-12/16:28:12",261.783
"2023-03-12/16:28:15",259.301
"2023-03-12/16:28:19",247.178
"2023-03-12/16:28:22",264.017
"2023-03-12/16:28:26",245.726
"2023-03-12/16:28:29",261.222
"2023-03-12/16:28:33",260.196
"2023-03-12/16:28:36",265.216
"2023-03-12/16:28:40",259.925
"2023-03-12/16:28:43",262.328
"2023-03-12/16:28:47",259.508
"2023-03-12/16:28:50",261.529
"2023-03-12/16:28:54",263.588
"2023-03-12/16:28:57",264.381
"2023-03-12/16:29:01",244.952
"2023-03-12/16:29:04",266.358
"2023-03-12/16:29:08",261.180
"2023-03-12/16:29:11",264.711
"2023-03-12/16:29:15",269.239
"2023-03-12/16:29:18",270.368
"2023-03-12/16:29:22",269.017
"2023-03-12/16:29:25",267.896
"2023-03-12/16:29:29",245.425
"2023-03-12/16:29:32",265.571
"2023-03-12/16:29:36",263.851
"2023-03-12/16:29:39",266.547
"2023-03-12/16:29:43",265.548
"2023-03-12/16:29:46",245.331
"2023-03-12/16:29:50",272.001
"2023-03-12/16:29:53",242.471
"2023-03-12/16:29:57",245.715
"2023-03-12/16:30:00",242.366
"2023-03-12/16:30:04",240.946
"2023-03-12/16:30:07",242.743
"2023-03-12/16:30:11",224.521
"2023-03-12/16:30:14",243.517
"2023-03-12/16:30:17",241.412
"2023-03-12/16:30:21",241.664
"2023-03-12/16:30:24",242.312
"2023-03-12/16:30:28",241.459
"2023-03-12/16:30:31",243.610
"2023-03-12/16:30:35",239.634
"2023-03-12/16:30:38",223.531
"2023-03-12/16:30:42",241.012
"2023-03-12/16:30:45",237.587
"2023-03-12/16:30:49",221.615
"2023-03-12/16:30:52",237.757
"2023-03-12/16:30:56",238.637
"2023-03-12/16:30:59",242.839
"2023-03-12/16:31:03",237.636
"2023-03-12/16:31:06",222.248
"2023-03-12/16:31:10",235.737
"2023-03-12/16:31:13",237.960
"2023-03-12/16:31:17",237.733
"2023-03-12/16:31:20",222.237
"2023-03-12/16:31:24",236.202
"2023-03-12/16:31:27",220.727
"2023-03-12/16:31:31",221.403
"2023-03-12/16:31:34",220.158
"2023-03-12/16:31:38",221.393
"2023-03-12/16:31:41",235.330
"2023-03-12/16:31:45",220.309
"2023-03-12/16:31:48",218.673
"2023-03-12/16:31:52",220.567
"2023-03-12/16:31:55",219.895
"2023-03-12/16:31:59",222.298
"2023-03-12/16:32:02",221.826
"2023-03-12/16:32:06",221.025
"2023-03-12/16:32:09",223.154
"2023-03-12/16:32:13",220.122
"2023-03-12/16:32:16",220.525
"2023-03-12/16:32:20",221.356
"2023-03-12/16:32:23",218.302
"2023-03-12/16:32:27",219.484
"2023-03-12/16:32:30",220.628
"2023-03-12/16:32:34",218.224
"2023-03-12/16:32:37",217.994
"2023-03-12/16:32:41",216.657
"2023-03-12/16:32:44",215.498
"2023-03-12/16:32:48",217.338
"2023-03-12/16:32:51",218.582
"2023-03-12/16:32:55",217.746
"2023-03-12/16:32:58",218.580
"2023-03-12/16:33:02",218.033
"2023-03-12/16:33:05",217.899
"2023-03-12/16:33:09",214.308
"2023-03-12/16:33:12",218.079
"2023-03-12/16:33:16",214.527
"2023-03-12/16:33:19",195.176
"2023-03-12/16:33:23",217.418
"2023-03-12/16:33:26",195.473
"2023-03-12/16:33:30",196.086
"2023-03-12/16:33:33",217.934
"2023-03-12/16:33:37",196.327
"2023-03-12/16:33:40",194.284
"2023-03-12/16:33:44",215.393
"2023-03-12/16:33:47",194.741
"2023-03-12/16:33:51",196.109
"2023-03-12/16:33:54",195.676
"2023-03-12/16:33:58",216.325
"2023-03-12/16:34:01",196.455
"2023-03-12/16:34:05",196.161
"2023-03-12/16:34:08",233.354
"2023-03-12/16:34:12",234.608
"2023-03-12/16:34:15",234.094
"2023-03-12/16:34:19",232.403
"2023-03-12/16:34:22",217.681
"2023-03-12/16:34:26",196.216
"2023-03-12/16:34:29",196.577
"2023-03-12/16:34:33",196.789
"2023-03-12/16:34:36",193.750
"2023-03-12/16:34:40",195.832
"2023-03-12/16:34:43",197.457
"2023-03-12/16:34:47",194.420
"2023-03-12/16:34:50",195.911
"2023-03-12/16:34:54",195.319
"2023-03-12/16:34:57",197.364
"2023-03-12/16:35:01",195.125
"2023-03-12/16:35:04",195.923
"2023-03-12/16:35:08",194.243
"2023-03-12/16:35:11",193.031
"2023-03-12/16:35:15",195.304
"2023-03-12/16:35:18",194.511
"2023-03-12/16:35:22",193.684
"2023-03-12/16:35:25",192.690
"2023-03-12/16:35:29",191.071
"2023-03-12/16:35:32",193.176
"2023-03-12/16:35:36",179.299
"2023-03-12/16:35:39",190.794
"2023-03-12/16:35:43",190.107
"2023-03-12/16:35:46",189.843
"2023-03-12/16:35:50",177.403
"2023-03-12/16:35:53",178.083
"2023-03-12/16:35:57",177.191
"2023-03-12/16:36:00",174.613
"2023-03-12/16:36:04",175.774
"2023-03-12/16:36:07",176.151
"2023-03-12/16:36:11",176.064
"2023-03-12/16:36:14",172.893
"2023-03-12/16:36:18",173.758
"2023-03-12/16:36:21",175.266
"2023-03-12/16:36:24",175.790
"2023-03-12/16:36:28",173.211
"2023-03-12/16:36:31",173.900
"2023-03-12/16:36:35",173.005
"2023-03-12/16:36:38",172.643
"2023-03-12/16:36:42",159.207
"2023-03-12/16:36:45",171.807
"2023-03-12/16:36:49",171.257
"2023-03-12/16:36:52",175.451
"2023-03-12/16:36:56",160.315
"2023-03-12/16:36:59",159.897
"2023-03-12/16:37:03",159.046
"2023-03-12/16:37:06",170.445
"2023-03-12/16:37:10",172.666
"2023-03-12/16:37:13",173.285
"2023-03-12/16:37:17",160.966
"2023-03-12/16:37:20",171.883
"2023-03-12/16:37:24",172.017
"2023-03-12/16:37:27",172.713
